Sport,Year,Age,Height,Weight,BMI
Curling,1998,29.825,168.35,64.775,1.6067063319810575
Curling,2002,31.148936170212767,167.7872340425532,62.829787234042556,1.5689282554103299
Curling,2006,28.456521739130434,167.34782608695653,61.58695652173913,1.545980165376504
Curling,2010,30.23913043478261,167.91304347826087,63.333333333333336,1.579133345723508
Curling,2014,30.162790697674417,166.1904761904762,61.714285714285715,1.5708284825247738
Figure Skating,1924,25.625,162.5,51.5,1.3710579881656804
Figure Skating,1928,26.178571428571427,162.5,54.0,1.4376142011834319
Figure Skating,1932,22.571428571428573,160.44444444444446,54.333333333333336,1.4837895465811342
Figure Skating,1936,21.045454545454547,161.0,52.0,1.4102850970255778
Figure Skating,1948,19.525,163.33333333333334,48.0,1.2648729695960015
Figure Skating,1952,19.81578947368421,161.5,51.5,1.3880896011655435
Figure Skating,1956,18.09375,160.66666666666666,50.0,1.361675935331692
Figure Skating,1960,17.794871794871796,159.8,50.111111111111114,1.37954479673086
Figure Skating,1964,18.106382978723403,161.30555555555554,53.833333333333336,1.4544806451267571
Figure Skating,1968,18.24,160.625,51.354166666666664,1.399280332278561
Figure Skating,1972,18.0,158.76470588235293,50.14705882352941,1.3985978779071087
Figure Skating,1976,18.62264150943396,161.62857142857143,48.96774193548387,1.317738194094008
Figure Skating,1980,19.11111111111111,160.11764705882354,47.766666666666666,1.3097905771551834
Figure Skating,1984,19.789473684210527,160.28571428571428,48.69090909090909,1.3323354220520283
Figure Skating,1988,20.454545454545453,160.34883720930233,49.395348837209305,1.350547153747737
Figure Skating,1992,19.803030303030305,159.0909090909091,49.2037037037037,1.366666007558579
Figure Skating,1994,20.181818181818183,160.0,49.310344827586206,1.354108297413793
Figure Skating,1998,21.569444444444443,160.92957746478874,49.47142857142857,1.3428825626541394
Figure Skating,2002,22.619718309859156,161.05633802816902,49.98360655737705,1.3546505383538605
Figure Skating,2006,23.383561643835616,161.45205479452054,50.01449275362319,1.348851192715687
Figure Skating,2010,22.136986301369863,161.97260273972603,50.465753424657535,1.3522872850064362
Figure Skating,2014,22.35135135135135,159.9099099099099,49.063291139240505,1.3488425106732387
Freestyle Skiing,1992,24.333333333333332,167.95833333333334,58.666666666666664,1.4619873849164877
Freestyle Skiing,1994,23.23913043478261,165.37777777777777,57.91111111111111,1.4885482579209168
Freestyle Skiing,1998,24.173076923076923,164.42307692307693,57.21153846153846,1.4876933073424299
Freestyle Skiing,2002,24.68,163.62,58.09,1.5254006420348942
Freestyle Skiing,2006,24.28301886792453,162.20754716981133,57.179245283018865,1.5277476680630477
Freestyle Skiing,2010,25.023529411764706,165.01176470588234,59.41566265060241,1.5340038599323136
Freestyle Skiing,2014,24.203252032520325,165.50819672131146,58.84166666666667,1.510084593328636
Ice Hockey,1998,24.033333333333335,166.46666666666667,64.4625,1.6353394096945169
Ice Hockey,2002,23.955128205128204,168.28205128205127,65.32692307692308,1.6217052915483956
